fr,qf,z_out
7.56E+04,1.31E+00,1.36E-01
8.46E+04,1.25E+00,1.41E-01
7.55E+04,1.23E+00,1.44E-01
9.52E+04,1.20E+00,1.42E-01
7.23E+04,1.23E+00,1.41E-01
1.14E+05,1.14E+00,1.34E-01
6.60E+04,1.21E+00,1.52E-01
8.14E+04,1.18E+00,1.46E-01
9.08E+04,1.09E+00,1.61E-01
7.90E+04,1.09E+00,1.61E-01
6.59E+04,1.37E+00,1.27E-01
1.09E+05,1.26E+00,1.28E-01
9.10E+04,1.23E+00,1.39E-01
6.90E+04,1.24E+00,1.52E-01
6.59E+04,1.18E+00,1.62E-01
1.15E+05,1.17E+00,1.32E-01
7.57E+04,1.24E+00,1.47E-01
7.93E+04,1.20E+00,1.47E-01
1.15E+05,1.07E+00,1.49E-01
1.14E+05,1.08E+00,1.52E-01
9.10E+04,1.27E+00,1.30E-01
8.70E+04,1.28E+00,1.28E-01
7.55E+04,1.29E+00,1.36E-01
7.93E+04,1.27E+00,1.46E-01
1.03E+05,1.15E+00,1.33E-01
7.56E+04,1.16E+00,1.53E-01
8.68E+04,1.12E+00,1.52E-01
7.22E+04,1.14E+00,1.60E-01
9.38E+04,1.10E+00,1.55E-01
9.55E+04,1.07E+00,1.53E-01
9.94E+04,1.27E+00,1.25E-01
7.58E+04,1.33E+00,1.33E-01
7.90E+04,1.30E+00,1.31E-01
7.24E+04,1.28E+00,1.36E-01
6.59E+04,1.23E+00,1.43E-01
6.57E+04,1.20E+00,1.56E-01
1.04E+05,1.17E+00,1.41E-01
1.20E+05,1.09E+00,1.50E-01
8.68E+04,1.13E+00,1.53E-01
7.93E+04,1.14E+00,1.47E-01
8.68E+04,1.32E+00,1.29E-01
8.70E+04,1.34E+00,1.25E-01
7.92E+04,1.24E+00,1.46E-01
1.20E+05,1.20E+00,1.30E-01
9.49E+04,1.21E+00,1.38E-01
7.57E+04,1.18E+00,1.50E-01
7.91E+04,1.12E+00,1.60E-01
8.30E+04,1.15E+00,1.44E-01
8.30E+04,1.14E+00,1.56E-01
7.92E+04,1.13E+00,1.60E-01
9.97E+04,1.27E+00,1.31E-01
7.54E+04,1.37E+00,1.31E-01
9.11E+04,1.27E+00,1.30E-01
6.91E+04,1.30E+00,1.49E-01
9.96E+04,1.15E+00,1.44E-01
8.29E+04,1.23E+00,1.40E-01
1.31E+05,1.10E+00,1.49E-01
6.90E+04,1.15E+00,1.60E-01
7.20E+04,1.11E+00,1.67E-01
9.96E+04,1.08E+00,1.54E-01
8.30E+04,1.34E+00,1.28E-01
7.16E+04,1.37E+00,1.32E-01
1.04E+05,1.25E+00,1.21E-01
6.61E+04,1.29E+00,1.39E-01
7.93E+04,1.20E+00,1.48E-01
6.57E+04,1.21E+00,1.46E-01
7.21E+04,1.17E+00,1.63E-01
6.81E+04,1.13E+00,1.68E-01
1.09E+05,1.06E+00,1.59E-01
1.14E+05,1.07E+00,1.52E-01
1.19E+05,1.27E+00,1.24E-01
7.58E+04,1.36E+00,1.29E-01
6.57E+04,1.24E+00,1.52E-01
6.91E+04,1.26E+00,1.51E-01
1.20E+05,1.17E+00,1.38E-01
7.18E+04,1.22E+00,1.46E-01
8.23E+04,1.17E+00,1.48E-01
9.09E+04,1.13E+00,1.53E-01
7.93E+04,1.15E+00,1.43E-01
8.30E+04,1.09E+00,1.62E-01
7.17E+04,1.35E+00,1.35E-01
7.58E+04,1.32E+00,1.34E-01
7.17E+04,1.29E+00,1.48E-01
1.04E+05,1.16E+00,1.42E-01
7.54E+04,1.24E+00,1.43E-01
9.10E+04,1.17E+00,1.44E-01
6.85E+04,1.20E+00,1.51E-01
8.68E+04,1.16E+00,1.52E-01
6.91E+04,1.21E+00,1.46E-01
6.59E+04,1.13E+00,1.61E-01
6.60E+04,1.32E+00,1.34E-01
7.22E+04,1.29E+00,1.41E-01
7.53E+04,1.24E+00,1.44E-01
1.04E+05,1.21E+00,1.34E-01
7.57E+04,1.19E+00,1.49E-01
7.21E+04,1.22E+00,1.55E-01
8.66E+04,1.17E+00,1.46E-01
1.09E+05,1.09E+00,1.53E-01
1.09E+05,1.07E+00,1.48E-01
7.23E+04,1.11E+00,1.70E-01
8.68E+04,1.27E+00,1.35E-01
8.25E+04,1.22E+00,1.45E-01
6.90E+04,1.28E+00,1.46E-01
7.57E+04,1.29E+00,1.36E-01
6.58E+04,1.22E+00,1.46E-01
8.68E+04,1.18E+00,1.47E-01
6.90E+04,1.16E+00,1.63E-01
7.53E+04,1.15E+00,1.63E-01
7.51E+04,1.13E+00,1.59E-01
8.68E+04,1.07E+00,1.60E-01
1.04E+05,1.24E+00,1.30E-01
1.04E+05,1.26E+00,1.29E-01
8.29E+04,1.25E+00,1.43E-01
7.13E+04,1.25E+00,1.43E-01
8.29E+04,1.20E+00,1.38E-01
7.56E+04,1.21E+00,1.48E-01
9.49E+04,1.13E+00,1.45E-01
9.10E+04,1.15E+00,1.46E-01
1.20E+05,1.07E+00,1.55E-01
6.45E+04,1.13E+00,1.62E-01
8.30E+04,1.27E+00,1.37E-01
7.07E+04,1.31E+00,1.38E-01
7.23E+04,1.29E+00,1.37E-01
6.89E+04,1.28E+00,1.41E-01
6.89E+04,1.21E+00,1.49E-01
1.14E+05,1.15E+00,1.44E-01
6.59E+04,1.19E+00,1.57E-01
1.04E+05,1.11E+00,1.40E-01
6.88E+04,1.21E+00,1.55E-01
7.92E+04,1.13E+00,1.61E-01
7.93E+04,1.36E+00,1.35E-01
9.97E+04,1.30E+00,1.26E-01
6.84E+04,1.29E+00,1.37E-01
1.09E+05,1.19E+00,1.29E-01
7.89E+04,1.19E+00,1.50E-01
1.14E+05,1.13E+00,1.45E-01
6.78E+04,1.18E+00,1.61E-01
6.68E+04,1.14E+00,1.61E-01
1.03E+05,1.08E+00,1.59E-01
7.23E+04,1.10E+00,1.66E-01
7.23E+04,1.34E+00,1.36E-01
7.56E+04,1.32E+00,1.35E-01
6.91E+04,1.33E+00,1.31E-01
6.60E+04,1.22E+00,1.52E-01
9.10E+04,1.22E+00,1.34E-01
9.95E+04,1.14E+00,1.40E-01
1.20E+05,1.12E+00,1.42E-01
1.04E+05,1.10E+00,1.46E-01
6.47E+04,1.14E+00,1.65E-01
9.92E+04,1.08E+00,1.54E-01
9.94E+04,1.28E+00,1.32E-01
7.21E+04,1.29E+00,1.33E-01
7.10E+04,1.31E+00,1.35E-01
7.24E+04,1.34E+00,1.27E-01
6.90E+04,1.25E+00,1.47E-01
9.52E+04,1.14E+00,1.49E-01
7.23E+04,1.18E+00,1.57E-01
1.20E+05,1.08E+00,1.50E-01
7.88E+04,1.12E+00,1.59E-01
1.09E+05,1.06E+00,1.56E-01
1.02E+05,1.30E+00,1.27E-01
8.42E+04,1.29E+00,1.35E-01
9.53E+04,1.19E+00,1.39E-01
6.90E+04,1.23E+00,1.44E-01
1.00E+05,1.15E+00,1.47E-01
6.89E+04,1.22E+00,1.61E-01
9.51E+04,1.15E+00,1.52E-01
7.53E+04,1.12E+00,1.57E-01
1.09E+05,1.10E+00,1.45E-01
9.09E+04,1.08E+00,1.61E-01
7.55E+04,1.29E+00,1.36E-01
8.88E+04,1.25E+00,1.29E-01
7.57E+04,1.26E+00,1.36E-01
9.09E+04,1.27E+00,1.37E-01
6.88E+04,1.25E+00,1.50E-01
9.42E+04,1.14E+00,1.50E-01
1.09E+05,1.11E+00,1.46E-01
6.91E+04,1.18E+00,1.57E-01
9.97E+04,1.08E+00,1.59E-01
6.59E+04,1.12E+00,1.64E-01
7.56E+04,1.34E+00,1.30E-01
1.15E+05,1.25E+00,1.26E-01
7.23E+04,1.28E+00,1.40E-01
9.64E+04,1.17E+00,1.42E-01
7.49E+04,1.20E+00,1.43E-01
6.59E+04,1.22E+00,1.43E-01
7.52E+04,1.20E+00,1.46E-01
8.28E+04,1.13E+00,1.61E-01
8.26E+04,1.09E+00,1.58E-01
6.90E+04,1.13E+00,1.63E-01
6.60E+04,1.34E+00,1.34E-01
7.55E+04,1.37E+00,1.31E-01
6.60E+04,1.27E+00,1.42E-01
7.23E+04,1.29E+00,1.33E-01
6.87E+04,1.22E+00,1.55E-01
1.20E+05,1.10E+00,1.53E-01
7.89E+04,1.14E+00,1.61E-01
8.29E+04,1.15E+00,1.49E-01
7.57E+04,1.12E+00,1.54E-01
8.23E+04,1.14E+00,1.62E-01
9.53E+04,1.34E+00,1.22E-01
1.05E+05,1.30E+00,1.20E-01
9.96E+04,1.21E+00,1.38E-01
7.21E+04,1.27E+00,1.51E-01
6.90E+04,1.31E+00,1.42E-01
7.23E+04,1.17E+00,1.53E-01
7.22E+04,1.20E+00,1.65E-01
6.29E+04,1.16E+00,1.55E-01
7.21E+04,1.15E+00,1.63E-01
1.09E+05,1.04E+00,1.57E-01
8.30E+04,1.33E+00,1.27E-01
7.23E+04,1.38E+00,1.34E-01
1.04E+05,1.20E+00,1.34E-01
6.83E+04,1.29E+00,1.38E-01
6.90E+04,1.23E+00,1.43E-01
9.51E+04,1.16E+00,1.42E-01
7.50E+04,1.18E+00,1.48E-01
9.88E+04,1.09E+00,1.60E-01
7.91E+04,1.10E+00,1.61E-01
9.52E+04,1.07E+00,1.58E-01
7.57E+04,1.32E+00,1.28E-01
7.24E+04,1.38E+00,1.28E-01
1.09E+05,1.19E+00,1.39E-01
8.30E+04,1.24E+00,1.45E-01
6.91E+04,1.20E+00,1.55E-01
8.29E+04,1.14E+00,1.53E-01
9.92E+04,1.13E+00,1.51E-01
7.56E+04,1.19E+00,1.52E-01
7.23E+04,1.15E+00,1.57E-01
7.81E+04,1.07E+00,1.62E-01
7.50E+04,1.33E+00,1.30E-01
1.09E+05,1.26E+00,1.24E-01
1.13E+05,1.18E+00,1.41E-01
1.14E+05,1.19E+00,1.34E-01
7.91E+04,1.24E+00,1.37E-01
9.06E+04,1.20E+00,1.36E-01
6.91E+04,1.22E+00,1.49E-01
7.93E+04,1.19E+00,1.43E-01
1.14E+05,1.09E+00,1.45E-01
7.93E+04,1.13E+00,1.57E-01
8.31E+04,1.29E+00,1.28E-01
6.60E+04,1.34E+00,1.33E-01
7.23E+04,1.25E+00,1.49E-01
7.91E+04,1.21E+00,1.45E-01
8.68E+04,1.19E+00,1.38E-01
6.88E+04,1.26E+00,1.43E-01
6.60E+04,1.18E+00,1.55E-01
8.83E+04,1.11E+00,1.53E-01
1.09E+05,1.11E+00,1.44E-01
6.90E+04,1.14E+00,1.64E-01
7.24E+04,1.40E+00,1.23E-01
1.14E+05,1.25E+00,1.24E-01
9.95E+04,1.21E+00,1.30E-01
6.90E+04,1.31E+00,1.36E-01
7.57E+04,1.26E+00,1.42E-01
6.60E+04,1.22E+00,1.48E-01
1.20E+05,1.09E+00,1.45E-01
6.90E+04,1.14E+00,1.64E-01
8.29E+04,1.11E+00,1.62E-01
8.24E+04,1.07E+00,1.63E-01
8.60E+04,1.35E+00,1.23E-01
9.10E+04,1.29E+00,1.26E-01
6.90E+04,1.28E+00,1.42E-01
9.38E+04,1.19E+00,1.35E-01
7.23E+04,1.21E+00,1.45E-01
7.92E+04,1.17E+00,1.50E-01
6.91E+04,1.21E+00,1.51E-01
1.04E+05,1.10E+00,1.48E-01
1.14E+05,1.04E+00,1.61E-01
1.09E+05,1.05E+00,1.54E-01
7.58E+04,1.35E+00,1.33E-01
7.23E+04,1.28E+00,1.40E-01
8.69E+04,1.26E+00,1.32E-01
9.68E+04,1.26E+00,1.36E-01
6.89E+04,1.24E+00,1.42E-01
9.09E+04,1.18E+00,1.40E-01
6.26E+04,1.16E+00,1.62E-01
1.04E+05,1.09E+00,1.55E-01
9.44E+04,1.07E+00,1.66E-01
1.09E+05,1.06E+00,1.56E-01
7.55E+04,1.29E+00,1.29E-01
1.04E+05,1.22E+00,1.35E-01
7.92E+04,1.28E+00,1.30E-01
8.68E+04,1.22E+00,1.45E-01
6.87E+04,1.28E+00,1.40E-01
9.48E+04,1.14E+00,1.47E-01
6.87E+04,1.17E+00,1.60E-01
7.57E+04,1.15E+00,1.55E-01
9.99E+04,1.06E+00,1.61E-01
6.59E+04,1.16E+00,1.59E-01
9.95E+04,1.28E+00,1.25E-01
7.72E+04,1.25E+00,1.49E-01
8.22E+04,1.24E+00,1.44E-01
6.91E+04,1.30E+00,1.37E-01
7.57E+04,1.25E+00,1.39E-01
6.60E+04,1.23E+00,1.48E-01
7.23E+04,1.18E+00,1.56E-01
8.29E+04,1.12E+00,1.59E-01
7.91E+04,1.12E+00,1.57E-01
6.64E+04,1.14E+00,1.63E-01
8.08E+04,1.28E+00,1.30E-01
7.42E+04,1.28E+00,1.33E-01
9.95E+04,1.28E+00,1.22E-01
6.58E+04,1.24E+00,1.50E-01
6.60E+04,1.30E+00,1.39E-01
7.73E+04,1.22E+00,1.46E-01
7.55E+04,1.21E+00,1.55E-01
1.15E+05,1.09E+00,1.47E-01
1.19E+05,1.11E+00,1.43E-01
6.90E+04,1.13E+00,1.58E-01
7.93E+04,1.34E+00,1.25E-01
1.09E+05,1.29E+00,1.22E-01
6.90E+04,1.29E+00,1.46E-01
7.23E+04,1.28E+00,1.46E-01
8.29E+04,1.22E+00,1.43E-01
9.02E+04,1.15E+00,1.44E-01
6.89E+04,1.21E+00,1.48E-01
1.14E+05,1.10E+00,1.43E-01
9.97E+04,1.10E+00,1.57E-01
9.10E+04,1.09E+00,1.53E-01
9.09E+04,1.35E+00,1.27E-01
6.83E+04,1.31E+00,1.38E-01
8.69E+04,1.28E+00,1.28E-01
1.04E+05,1.18E+00,1.33E-01
1.09E+05,1.16E+00,1.34E-01
9.02E+04,1.17E+00,1.49E-01
9.51E+04,1.09E+00,1.57E-01
7.76E+04,1.18E+00,1.53E-01
9.53E+04,1.08E+00,1.50E-01
1.19E+05,1.06E+00,1.51E-01
1.09E+05,1.26E+00,1.25E-01
8.69E+04,1.24E+00,1.35E-01
7.21E+04,1.25E+00,1.51E-01
1.15E+05,1.16E+00,1.38E-01
6.86E+04,1.26E+00,1.43E-01
6.59E+04,1.20E+00,1.55E-01
7.17E+04,1.24E+00,1.48E-01
6.89E+04,1.13E+00,1.66E-01
1.20E+05,1.07E+00,1.52E-01
9.10E+04,1.09E+00,1.58E-01
8.30E+04,1.34E+00,1.28E-01
6.30E+04,1.34E+00,1.33E-01
7.23E+04,1.30E+00,1.37E-01
1.10E+05,1.22E+00,1.29E-01
1.19E+05,1.16E+00,1.37E-01
8.69E+04,1.18E+00,1.39E-01
6.86E+04,1.16E+00,1.57E-01
6.60E+04,1.20E+00,1.53E-01
7.46E+04,1.14E+00,1.58E-01
9.10E+04,1.11E+00,1.53E-01
1.15E+05,1.27E+00,1.27E-01
8.30E+04,1.28E+00,1.34E-01
9.10E+04,1.24E+00,1.33E-01
6.90E+04,1.34E+00,1.35E-01
7.52E+04,1.23E+00,1.38E-01
8.70E+04,1.20E+00,1.33E-01
7.23E+04,1.19E+00,1.53E-01
7.13E+04,1.20E+00,1.56E-01
9.98E+04,1.07E+00,1.55E-01
1.04E+05,1.04E+00,1.58E-01
7.22E+04,1.32E+00,1.36E-01
8.28E+04,1.26E+00,1.34E-01
7.57E+04,1.28E+00,1.44E-01
6.90E+04,1.26E+00,1.45E-01
1.04E+05,1.22E+00,1.31E-01
8.28E+04,1.18E+00,1.48E-01
9.94E+04,1.11E+00,1.51E-01
9.95E+04,1.11E+00,1.51E-01
6.91E+04,1.19E+00,1.57E-01
1.09E+05,1.03E+00,1.60E-01
1.09E+05,1.27E+00,1.31E-01
7.24E+04,1.33E+00,1.32E-01
6.90E+04,1.31E+00,1.36E-01
7.54E+04,1.28E+00,1.40E-01
8.69E+04,1.21E+00,1.38E-01
8.64E+04,1.17E+00,1.44E-01
6.90E+04,1.27E+00,1.43E-01
7.53E+04,1.11E+00,1.55E-01
1.28E+05,1.05E+00,1.56E-01
1.14E+05,1.07E+00,1.47E-01
7.94E+04,1.28E+00,1.35E-01
9.47E+04,1.28E+00,1.30E-01
8.15E+04,1.27E+00,1.34E-01
6.99E+04,1.25E+00,1.50E-01
7.23E+04,1.27E+00,1.41E-01
6.91E+04,1.26E+00,1.50E-01
9.10E+04,1.14E+00,1.47E-01
6.58E+04,1.18E+00,1.51E-01
9.05E+04,1.09E+00,1.59E-01
7.57E+04,1.11E+00,1.57E-01
7.93E+04,1.42E+00,1.21E-01
6.91E+04,1.30E+00,1.43E-01
7.93E+04,1.26E+00,1.39E-01
7.92E+04,1.20E+00,1.53E-01
7.23E+04,1.21E+00,1.51E-01
9.50E+04,1.15E+00,1.42E-01
9.10E+04,1.13E+00,1.39E-01
1.04E+05,1.10E+00,1.51E-01
8.69E+04,1.11E+00,1.61E-01
8.30E+04,1.08E+00,1.58E-01
1.09E+05,1.27E+00,1.31E-01
8.69E+04,1.32E+00,1.30E-01
9.98E+04,1.28E+00,1.29E-01
7.23E+04,1.29E+00,1.38E-01
9.49E+04,1.17E+00,1.41E-01
9.98E+04,1.16E+00,1.37E-01
7.20E+04,1.18E+00,1.51E-01
6.89E+04,1.14E+00,1.69E-01
9.50E+04,1.06E+00,1.68E-01
7.22E+04,1.11E+00,1.63E-01
9.04E+04,1.34E+00,1.22E-01
9.07E+04,1.24E+00,1.44E-01
7.23E+04,1.26E+00,1.48E-01
6.91E+04,1.34E+00,1.39E-01
9.53E+04,1.17E+00,1.41E-01
6.91E+04,1.29E+00,1.43E-01
6.59E+04,1.18E+00,1.46E-01
1.18E+05,1.08E+00,1.55E-01
7.76E+04,1.14E+00,1.57E-01
8.29E+04,1.09E+00,1.63E-01
1.20E+05,1.22E+00,1.32E-01
7.93E+04,1.30E+00,1.34E-01
1.14E+05,1.21E+00,1.35E-01
7.93E+04,1.24E+00,1.38E-01
9.97E+04,1.17E+00,1.38E-01
7.56E+04,1.21E+00,1.51E-01
7.56E+04,1.21E+00,1.44E-01
1.25E+05,1.11E+00,1.48E-01
6.59E+04,1.17E+00,1.56E-01
1.09E+05,1.07E+00,1.53E-01
1.14E+05,1.26E+00,1.24E-01
8.74E+04,1.25E+00,1.31E-01
9.98E+04,1.26E+00,1.26E-01
1.14E+05,1.20E+00,1.31E-01
7.23E+04,1.20E+00,1.48E-01
1.05E+05,1.18E+00,1.36E-01
8.58E+04,1.14E+00,1.60E-01
9.07E+04,1.15E+00,1.53E-01
9.51E+04,1.12E+00,1.57E-01
9.96E+04,1.07E+00,1.50E-01
1.19E+05,1.26E+00,1.25E-01
6.90E+04,1.32E+00,1.41E-01
1.05E+05,1.20E+00,1.36E-01
9.53E+04,1.21E+00,1.47E-01
7.57E+04,1.27E+00,1.42E-01
8.27E+04,1.16E+00,1.55E-01
1.04E+05,1.10E+00,1.59E-01
9.09E+04,1.11E+00,1.60E-01
1.09E+05,1.05E+00,1.54E-01
7.57E+04,1.12E+00,1.60E-01
1.09E+05,1.28E+00,1.27E-01
7.22E+04,1.30E+00,1.41E-01
9.47E+04,1.23E+00,1.46E-01
6.91E+04,1.29E+00,1.44E-01
6.99E+04,1.27E+00,1.46E-01
7.57E+04,1.21E+00,1.50E-01
7.23E+04,1.14E+00,1.61E-01
6.90E+04,1.24E+00,1.51E-01
7.23E+04,1.13E+00,1.57E-01
6.87E+04,1.17E+00,1.53E-01
1.09E+05,1.27E+00,1.26E-01
7.92E+04,1.25E+00,1.39E-01
9.10E+04,1.22E+00,1.40E-01
9.09E+04,1.22E+00,1.33E-01
6.88E+04,1.23E+00,1.55E-01
6.74E+04,1.22E+00,1.56E-01
6.58E+04,1.18E+00,1.60E-01
8.30E+04,1.12E+00,1.52E-01
8.30E+04,1.11E+00,1.59E-01
7.88E+04,1.13E+00,1.58E-01
8.30E+04,1.32E+00,1.27E-01
7.60E+04,1.28E+00,1.39E-01
6.60E+04,1.31E+00,1.43E-01
9.12E+04,1.18E+00,1.38E-01
7.21E+04,1.34E+00,1.29E-01
7.16E+04,1.21E+00,1.44E-01
1.14E+05,1.13E+00,1.47E-01
6.60E+04,1.23E+00,1.48E-01
9.53E+04,1.12E+00,1.50E-01
